,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau_True,sexo_M,posse_de_imovel_Y,posse_de_veiculo_Y
0,0,Working,Secondary / secondary special,Married,House / apartment,58.83287671232877,3.106849315068493,1,0,0,0,2.0,0,1,1,1
1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,0,0,1,0
2,0,Working,Higher education,Married,House / apartment,46.224657534246575,2.106849315068493,1,1,1,1,2.0,0,1,1,1
3,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,0,0,0,1
4,0,Working,Secondary / secondary special,Married,House / apartment,27.48219178082192,4.024657534246575,1,0,1,0,2.0,0,0,1,0
5,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,0,0,1,0
6,3,Working,Secondary / secondary special,Married,House / apartment,34.76438356164383,3.186301369863014,1,0,0,0,5.0,0,1,1,1
7,1,Commercial associate,Higher education,Married,House / apartment,32.44383561643836,5.523287671232877,1,0,0,0,3.0,0,1,1,0
8,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,0,1,1,1
9,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,0,0,1,1
10,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.41643835616439,19.44931506849315,1,0,0,0,3.0,0,0,1,0
11,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,0,0,1,0
12,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,0,0,1,0
13,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,0,0,1,0
14,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,0,0,1,0
15,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,0,0,0,0
16,1,Working,Secondary / secondary special,Married,House / apartment,28.27671232876712,7.693150684931507,1,0,0,0,3.0,0,1,1,0
17,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,0,0,1,1
18,0,Working,Secondary / secondary special,Married,House / apartment,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,0,1,1,0
19,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
20,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,0,0,1,1
21,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,0,1,1,0
